record_key,destination_key,feature_group,feature_key,feature_value,availability_level,proximity_band,display_label,evidence_summary,source_name,source_url,source_as_of_date,confidence,matching_enabled,display_enabled,notes
lf_the_villages_fl_us_settlement_type,the-villages-fl-us,community_form,settlement_type,MIXED,NOT_APPLICABLE,NOT_APPLICABLE,Community type,"Population 83,498; city_type 'Master-planned retirement community' - does not cleanly fit a standard settlement-type category (large land area, low-rise, no downtown core, age-restricted, spans 3 counties).","Batch #1 workbook (existing, untouched v3.2)",,,HIGH,YES,YES,PRIMARY - see dedicated retirement_orientation/master_planned_or_gated_character keys for the more accurate characterization.
lf_the_villages_fl_us_suburban_character,the-villages-fl-us,community_form,suburban_character,NOT_APPLICABLE,NONE,NOT_APPLICABLE,Suburban character,"An independent census-designated place spanning three counties, not administratively part of a larger city.",Wikipedia,"https://en.wikipedia.org/wiki/The_Villages,_Florida",2026-08-27,MEDIUM,YES,YES,
lf_the_villages_fl_us_resort_orientation,the-villages-fl-us,community_form,resort_orientation,NOT_APPLICABLE,LIMITED,NOT_APPLICABLE,Resort orientation,"An amenity-rich permanent residential community, not a vacation/tourism destination; economy is centered on retail, healthcare and resident services rather than tourism.",Wikipedia,"https://en.wikipedia.org/wiki/The_Villages,_Florida",2026-08-27,MEDIUM,YES,YES,
lf_the_villages_fl_us_retirement_orientation,the-villages-fl-us,community_form,retirement_orientation,NOT_APPLICABLE,STRONG,NOT_APPLICABLE,Retirement-community character,Age-restricted community (80%+ of homes require a resident 55+); 2020 census shows 84.7% of residents 65 or older; named the top-selling master-planned community in the U.S. from 2010-2019 by RCLCO industry data.,Wikipedia,"https://en.wikipedia.org/wiki/The_Villages,_Florida",2026-08-27,MEDIUM,YES,YES,
lf_the_villages_fl_us_college_town_character,the-villages-fl-us,community_form,college_town_character,NOT_APPLICABLE,NONE,NOT_APPLICABLE,College-town character,"No university presence identified; the community operates its own non-degree 'Enrichment Academy' adult courses, not a college.",Wikipedia,"https://en.wikipedia.org/wiki/The_Villages,_Florida",2026-08-27,MEDIUM,YES,YES,
lf_the_villages_fl_us_master_planned_or_gated_character,the-villages-fl-us,community_form,master_planned_or_gated_character,NOT_APPLICABLE,STRONG,NOT_APPLICABLE,Master-planned / gated community presence,Explicitly developer-planned and governed by 17 community development districts (CDDs); one of the largest master-planned communities in the U.S. by home sales.,Wikipedia,"https://en.wikipedia.org/wiki/The_Villages,_Florida",2026-08-27,MEDIUM,YES,YES,
lf_the_villages_fl_us_community_energy,the-villages-fl-us,community_form,community_energy,ENERGETIC,NOT_APPLICABLE,NOT_APPLICABLE,Everyday atmosphere,"Over 3,500 resident-led clubs, nightly entertainment at five town squares, and an annual Senior Games with ~2,000 competitors.",Wikipedia,"https://en.wikipedia.org/wiki/The_Villages,_Florida",2026-08-27,MEDIUM,YES,YES,
lf_the_villages_fl_us_tourism_seasonality,the-villages-fl-us,community_form,tourism_seasonality,UNKNOWN,NOT_APPLICABLE,NOT_APPLICABLE,Tourist-season variability,This is a permanent residential community rather than a seasonal tourist destination; no visitor-seasonality data was found or is clearly applicable.,,,,LOW,NO,YES,
lf_the_villages_fl_us_coastal_setting,the-villages-fl-us,natural_setting,coastal_setting,NOT_APPLICABLE,NONE,NOT_APPLICABLE,Coastal setting,"Located in central Florida, approximately 55 miles northwest of Orlando; an inland community with only 3.83% water area within its CDP boundary.",Wikipedia,"https://en.wikipedia.org/wiki/The_Villages,_Florida",2026-08-27,MEDIUM,YES,YES,
lf_the_villages_fl_us_beach_access,the-villages-fl-us,natural_setting,beach_access,NEARBY,NOT_APPLICABLE,WITHIN_60_MIN,Beach access,Mirrors existing DESTINATIONS.beach_access = NEARBY.,DESTINATIONS.beach_access (existing authoritative field),,,HIGH,NO,YES,"Mirrored value, not independently researched."
lf_the_villages_fl_us_mountain_access,the-villages-fl-us,natural_setting,mountain_access,NONE,NOT_APPLICABLE,NONE,Mountain access,Mirrors existing DESTINATIONS.mountain_or_ski_access = NONE.,DESTINATIONS.mountain_or_ski_access (existing authoritative field),,,HIGH,NO,YES,"Mirrored value, not independently researched."
lf_the_villages_fl_us_lake_access,the-villages-fl-us,natural_setting,lake_access,NOT_APPLICABLE,MODERATE,IN_DESTINATION,Lake access,Existing PLACES/attraction entry 'Lake Sumter Landing' names a real lake at the community's center; not independently verified beyond the existing workbook naming.,"Batch #1 workbook (existing, untouched v3.2)",,,MEDIUM,YES,YES,Internal reuse of existing PLACES naming evidence.
lf_the_villages_fl_us_river_access,the-villages-fl-us,natural_setting,river_access,NOT_APPLICABLE,UNKNOWN,NOT_APPLICABLE,River access,No named river confirmed for the destination in this research pass.,,,,LOW,NO,YES,
lf_the_villages_fl_us_forest_access,the-villages-fl-us,natural_setting,forest_access,NOT_APPLICABLE,UNKNOWN,NOT_APPLICABLE,Forest / woodland access,No named forest/woodland access confirmed in this research pass.,,,,LOW,NO,YES,
lf_the_villages_fl_us_desert_setting,the-villages-fl-us,natural_setting,desert_setting,NOT_APPLICABLE,NONE,NOT_APPLICABLE,Desert setting,Central Florida humid subtropical climate; no arid/desert biome.,Wikipedia,"https://en.wikipedia.org/wiki/The_Villages,_Florida",2026-08-27,MEDIUM,YES,YES,
lf_the_villages_fl_us_countryside_access,the-villages-fl-us,natural_setting,countryside_access,NOT_APPLICABLE,MODERATE,WITHIN_30_MIN,Countryside access,"Surrounded by rural Sumter, Marion and Lake county land beyond the developed CDP boundary.",Wikipedia,"https://en.wikipedia.org/wiki/The_Villages,_Florida",2026-08-27,MEDIUM,YES,YES,
lf_the_villages_fl_us_snow_access,the-villages-fl-us,natural_setting,snow_access,NOT_APPLICABLE,NONE,NOT_APPLICABLE,Snow / winter-scenery access,Central Florida climate; snowfall is climatologically implausible.,Wikipedia,"https://en.wikipedia.org/wiki/The_Villages,_Florida",2026-08-27,MEDIUM,YES,YES,
lf_the_villages_fl_us_marina_access,the-villages-fl-us,water_and_boating,marina_access,NOT_APPLICABLE,UNKNOWN,NOT_APPLICABLE,Marina access,No marina identified in this research pass.,,,,LOW,NO,YES,
lf_the_villages_fl_us_boat_launch_access,the-villages-fl-us,water_and_boating,boat_launch_access,NOT_APPLICABLE,UNKNOWN,NOT_APPLICABLE,Boat ramp / launch access,No boat ramp identified in this research pass.,,,,LOW,NO,YES,
lf_the_villages_fl_us_slip_or_mooring_access,the-villages-fl-us,water_and_boating,slip_or_mooring_access,NOT_APPLICABLE,UNKNOWN,NOT_APPLICABLE,Boat slip / mooring availability,No slip/mooring facility identified in this research pass.,,,,LOW,NO,YES,
lf_the_villages_fl_us_powerboating_access,the-villages-fl-us,water_and_boating,powerboating_access,NOT_APPLICABLE,UNKNOWN,NOT_APPLICABLE,Powerboating,No powerboating operator/infrastructure identified in this research pass.,,,,LOW,NO,YES,
lf_the_villages_fl_us_sailing_access,the-villages-fl-us,water_and_boating,sailing_access,NOT_APPLICABLE,UNKNOWN,NOT_APPLICABLE,Sailing,No sailing club/operator identified in this research pass.,,,,LOW,NO,YES,
lf_the_villages_fl_us_fishing_access,the-villages-fl-us,water_and_boating,fishing_access,NOT_APPLICABLE,LIMITED,NOT_APPLICABLE,Fishing access,"Fishing is explicitly listed among resident recreational activities, alongside archery and air gun ranges; no natural water body for fishing was independently confirmed.",Wikipedia,"https://en.wikipedia.org/wiki/The_Villages,_Florida",2026-08-27,MEDIUM,YES,YES,
lf_the_villages_fl_us_kayaking_access,the-villages-fl-us,water_and_boating,kayaking_access,NOT_APPLICABLE,UNKNOWN,NOT_APPLICABLE,Kayaking,No kayaking outfitter/route identified in this research pass.,,,,LOW,NO,YES,
lf_the_villages_fl_us_paddleboarding_access,the-villages-fl-us,water_and_boating,paddleboarding_access,NOT_APPLICABLE,UNKNOWN,NOT_APPLICABLE,Paddleboarding,No paddleboarding outfitter identified in this research pass.,,,,LOW,NO,YES,
lf_the_villages_fl_us_swimming_access,the-villages-fl-us,water_and_boating,swimming_access,NOT_APPLICABLE,MODERATE,IN_DESTINATION,Swimming access,"Recreation centers include swimming pools; this reflects constructed pool access, not confirmed natural/lake swimming.",Wikipedia,"https://en.wikipedia.org/wiki/The_Villages,_Florida",2026-08-27,MEDIUM,YES,YES,Distinguish pool swimming (confirmed) from natural-water swimming (not confirmed).
lf_the_villages_fl_us_surfing_access,the-villages-fl-us,water_and_boating,surfing_access,NOT_APPLICABLE,NONE,NOT_APPLICABLE,Surfing,Inland central-Florida location with no coastal frontage; surfing is not applicable here.,Wikipedia,"https://en.wikipedia.org/wiki/The_Villages,_Florida",2026-08-27,MEDIUM,YES,YES,
lf_the_villages_fl_us_scuba_snorkeling_access,the-villages-fl-us,water_and_boating,scuba_snorkeling_access,NOT_APPLICABLE,LIMITED,NOT_APPLICABLE,Scuba diving / snorkeling,"The community's Enrichment Academy offers scuba-diving instruction/courses; this is instructional access, not a confirmed natural dive/snorkel site.",Wikipedia,"https://en.wikipedia.org/wiki/The_Villages,_Florida",2026-08-27,MEDIUM,YES,YES,Distinguish instructional courses (confirmed) from a natural dive site (not confirmed).
lf_the_villages_fl_us_golf_access,the-villages-fl-us,outdoor_recreation,golf_access,NOT_APPLICABLE,STRONG,IN_DESTINATION,Golf access,"The community operates 56 golf courses with 729 holes total (42 nine-hole executive courses, 12 country-club championship courses, two specialty putting courses); existing PLACES already names 6 example courses.",Wikipedia,"https://en.wikipedia.org/wiki/The_Villages,_Florida",2026-08-27,MEDIUM,YES,YES,Existing PLACES golf rows reused directly; Wikipedia confirms the wider community total.
lf_the_villages_fl_us_pickleball_access,the-villages-fl-us,outdoor_recreation,pickleball_access,NOT_APPLICABLE,STRONG,IN_DESTINATION,Pickleball,"A dedicated Pickleball Club is explicitly named among resident clubs; the community's pickleball culture has been the subject of national reporting (Politico, 'Generation Pickleball').",Wikipedia,"https://en.wikipedia.org/wiki/The_Villages,_Florida",2026-08-27,MEDIUM,YES,YES,
lf_the_villages_fl_us_tennis_access,the-villages-fl-us,outdoor_recreation,tennis_access,NOT_APPLICABLE,MODERATE,IN_DESTINATION,Tennis,Tennis courts are listed among the facilities at community recreation centers.,Wikipedia,"https://en.wikipedia.org/wiki/The_Villages,_Florida",2026-08-27,MEDIUM,YES,YES,
lf_the_villages_fl_us_skiing_snowboarding_access,the-villages-fl-us,outdoor_recreation,skiing_snowboarding_access,NOT_APPLICABLE,NONE,NOT_APPLICABLE,Skiing / snowboarding,Central Florida climate; a ski facility is not climatically feasible.,Wikipedia,"https://en.wikipedia.org/wiki/The_Villages,_Florida",2026-08-27,MEDIUM,YES,YES,
lf_the_villages_fl_us_hiking_access,the-villages-fl-us,outdoor_recreation,hiking_access,NOT_APPLICABLE,LIMITED,IN_DESTINATION,Hiking,Existing PLACES trail row (Sharon Rose Wiechens Preserve) and Wikipedia-confirmed Fenney Springs Nature Trail are boardwalk/nature-preserve walks rather than rugged hiking terrain.,"Batch #1 workbook (existing, untouched v3.2)",,,MEDIUM,YES,YES,Existing PLACES evidence plus Wikipedia corroboration.
lf_the_villages_fl_us_trail_access,the-villages-fl-us,outdoor_recreation,trail_access,NOT_APPLICABLE,STRONG,IN_DESTINATION,Walking / multi-use trails,"The community documents 'numerous parks, dog parks, and fitness trails' plus the named Fenney Springs Nature Trail.",Wikipedia,"https://en.wikipedia.org/wiki/The_Villages,_Florida",2026-08-27,MEDIUM,YES,YES,
lf_the_villages_fl_us_road_cycling_access,the-villages-fl-us,outdoor_recreation,road_cycling_access,NOT_APPLICABLE,UNKNOWN,NOT_APPLICABLE,Road cycling,"Golf carts, not bicycles, dominate documented internal transportation; no dedicated road-cycling infrastructure was confirmed.",,,,LOW,NO,YES,
lf_the_villages_fl_us_mountain_biking_access,the-villages-fl-us,outdoor_recreation,mountain_biking_access,NOT_APPLICABLE,UNKNOWN,NOT_APPLICABLE,Mountain biking,No mountain-biking trail system identified in this research pass.,,,,LOW,NO,YES,
lf_the_villages_fl_us_hunting_access,the-villages-fl-us,outdoor_recreation,hunting_access,NOT_APPLICABLE,UNKNOWN,NOT_APPLICABLE,Recreational hunting access (general/regional only),No destination-specific confirmation sought or found.,,,,LOW,NO,YES,
lf_the_villages_fl_us_parks_open_space_access,the-villages-fl-us,outdoor_recreation,parks_open_space_access,NOT_APPLICABLE,STRONG,IN_DESTINATION,Parks & open space,"Numerous parks, four named dog parks, and over 100 recreation centers are documented.",Wikipedia,"https://en.wikipedia.org/wiki/The_Villages,_Florida",2026-08-27,MEDIUM,YES,YES,
